abandoned industrial site	Site that cannot be used for any purpose, being contaminated by pollutants.
laboratory waste	Discarded materials produced by analytical and research activities in a laboratory.
lacquer	A material which contains a substantial quantity of a cellulose derivative, most commonly nitrocellulose but sometimes a cellulose ester, such as cellulose acetate or cellulose butyrate, or a cellulose ether such as ethyl cellulose; used to give a glossy finish, especially on brass and other bright metals.
lagoon	A body of water cut off from the open sea by coral reefs or sand bars.
lake basin	The depression in the Earth's surface occupied or formerly occupied by a lake.
lake pollution	The direct or indirect human alteration of the biological, physical, chemical or radiological integrity of lake water, or a lake ecosystem.
lake	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.
lamp	A device for producing light.
land	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization.
land and property register	The system of registering certain legal estates or interests in land. It describes the land and any additional rights incidental to it, such as rights of way over adjoining land.
land clearing	Removal of trees, undergrowth, etc. in preparation for ploughing, building, etc.
land consolidation	Joining small plots of land together to form larger farms or large fields.
land cover	Interface between the earth's crust and the atmosphere made of a combination of vegetation, soil, rock, water and human-made structures.
land ecology	Study of the relationship between terrestrial organisms and their environment.
landfill	A site where garbage is collected and buried.
landfill covering	The protective shielding, consisting of soil or some other material, that encloses disposal sites for waste to minimize the chance of releasing hazardous substances into the environment.
landfill degasification	Landfill gas is highly dangerous as methane is highly explosive; therefore it must be controlled at all operational landfill sites, whether by active or passive ventilation or both especially in the case of deep sites. There exist venting systems for shallow and deep sites respectively.
landform	Any physical, recognizable form or feature of the Earth's surface, having a characteristic shape and produced by natural causes; it includes major forms such as plane, plateau and mountain, and minor forms such as hill, valley, slope, esker, and dune. Taken together the landforms make up the surface configuration of the Earth's.
land mammal	Mammal that lives on shore.
land planning	The activity of designing, organizing or preparing for the future use of solid areas of the earth's surface, especially regions valued for natural resources, utilized as agricultural resources or considered for human settlement.
land register	A public register containing information on the land and landowners.
landscape	The traits, patterns, and structure of a specific geographic area.
landscape architecture	The creation, development, and decorative planting of gardens, grounds, parks, and other outdoor spaces.
landscape conservation	The safeguarding, for public enjoyment, of landscape and of opportunities for outdoor recreation, tourism and similar activities; the concept includes the preservation and enhancement not only of what has been inherited but the provision of new amenities and facilities.
landscape ecology	The study of landscapes taking account of the ecology of their biological populations. The subjects thus embraces geomorphology and ecology and is applied to the design and architecture of landscapes.
landslide	Mass-movement landforms and processes involving the downslope transport, under gravitationary influence of soil and rock material en masse.
land value	The monetary or material worth in commerce or trade of an area of ground considered as property.
laser	A device that produces a powerful, highly directional, monochromatic, coherent beam of light.
laundering	The act of washing and ironing clothes, linen, etc.
law amendment	An alteration of or addition to any statute with legal force that, if approved by the appropriate legislative authority, supersedes the original statute.
law enforcement	Any variety of activities associated with promoting compliance and obedience to the binding rules of a state, especially the prevention, investigation, apprehension or detention of individuals suspected or convicted of violating those rules.
leaching	1) The process of separating a liquid from a solid (as in waste liquid by percolation into the surrounding soil. 
lead	A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.
lead compound	A chemical compound present as gasoline additives, in paint, ceramic products, roofing, caulking, electrical applications, tubes, or containers. Lead exposure may be due to air, water, food, or soil. Lead in the air is primarily due to lead-based fuels and the combustion of solid waste, coal, oils, and emissions from alkyl lead manufacturers, wind blown dust volcanoes, the burning of lead-painted surfaces, and cigarette smoke. Lead in drinking water comes from leaching from lead pipes, connectors, and solder in both the distribution system and household plumbing.
lead level in blood	A measure of the amount of lead or lead salts absorbed by the body as a possible sign of acute or chronic lead poisoning, which can affect the nervous, digestive or muscular systems.
leaf	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.
leakage	The accidental, uncontrolled discharge or seepage of liquids, gases and other substances to unintended and unwanted locations, frequently causing risks of damage or harm to persons, property or the environment.
leather	The dressed or tanned hide of an animal, usually with the hair removed.
leather industry	Industry for the production of leather goods such as garments, bags, etc.
legal basis	The fundamental law or judicial precedent that warrants or supports a subsequent decision or action by any governmental, corporate or private entity.
legal regulation	Any order or rule issued by a government stipulating its procedures for the creation, execution or adjudication of laws.
legal remedy	The means by which a right is enforced or the violation of a right is prevented, redressed, or compensated.
legal text	The exact wording or language of a law or other document in conformity with the law or having the authority of law.
legislation	The act or process of making laws.
legislative authority	The power of a deliberative assembly of persons or delegates to bring a bill, resolution or special act to an official, legally binding status.
legislative competence	The skill, knowledge, qualification, capacity or authority to make, give or enact rules with binding force upon a population or jurisdiction.
legislature	The department, assembly, or body of persons that makes statutory laws for a state or nation.
leisure time	Time free from work or other duties; spare time.
lepidopteran	Any insect of the order Lepidoptera that has a slender body with clubbed antennae and typically rests with the wings (which are often brightly coloured) closed over the back.
levy	A ratable portion of the produce of the property and labor of the individual citizens, taken by the nation, in the exercise of its sovereign rights, for the support of government, for the administration of the laws, and as the means for continuing in operation the various legitimate functions of the state.
lexicon	The vocabulary of a particular sphere of activity, region, social class or individual, or the total set of morphemes or meaningful units of a language and its words.
liability	Subjection to a legal obligation. Liability is civil or criminal according to whether it is enforced by the civil or criminal courts.
library	Place where books and other literary materials are kept.
lichen	Composite organisms formed by the symbiosis between species of fungi and an algae.
life cycle	The phases, changes, or stages through which an organism passes throughout its lifetime.
life science	A science based on living organisms collectively.
lifestyle	The particular attitudes, habits or behaviour associated with an individual or group.
light	A device for producing light.
lighting	The supply of illumination in streets or dwellings.
separator of light liquids	A mechanical device for separating and removing residues from fuel and lubricating oil from waste water coming from filling stations and industrial plants in order to avoid pollution of water bodies; this system is based on the different specific weights of water and fuel residues that float on the water and can be easily removed.
lignite	Coal of relatively recent origin consisting of accumulated layers of partially decomposed vegetation, intermediate between peat and bituminous coal; often contains patterns from the wood from which it formed.
lignite mining	Extraction of brown coal from natural deposits; lignite is a brownish-black solid fuel in the second stage in the development of coal. It has a little over half the heating value of bituminous or anthracite coal.
lime	Any of various mineral and industrial forms of calcium oxide differing chiefly in water content and percentage of constituent such as silica, alumina and iron.
limestone	A sedimentary rock consisting chiefly of calcium carbonate, primarily in the form of the mineral calcite and with or without magnesium carbonate.
limnology	The study of bodies of fresh water with reference to their plant and animal life, physical properties, geographical features, etc.
linear source of sound	Point noise sources placed one after the other one as, for instance, in a row of cars moving on a road.
line source	A source of air, noise, water contamination or electromagnetic radiation that emanates from a linear source such as a road.
lipid	One of a class of compounds which contain long-chain aliphatic hydrocarbons and their derivatives, such as fatty acids, alcohols, amines, amino alcohols, and aldehydes; includes waxes, fats, and derived compounds.
liquefied gas	A gaseous compound or mixture converted to the liquid phase by cooling or compression; examples are liquefied petroleum gas (LPG), liquefied natural gas (LNG), liquid oxygen, and liquid ammonia.
liquid manure	Any fertilizer substance with a moisture content of over ninety percent, usually consisting of animal excrement with water added.
liquid state	A state of matter intermediate between that of crystalline substances and gases in which a substance has the capacity to flow under extremely small shear stresses and conforms to the shape of a confining vessel, but is relatively incompressible, lacks the capacity to expand without limit, and can posses a free surface.
literature	Written material such as poetry, novels, essays, especially works of imagination characterized by excellence of style and expression and by themes of general or enduring interest.
literature data bank	A fund of information on a particular subject or group of related subjects, divided into discrete documents and usually stored in and used with a computer system.
literature study	The identification, description, analysis and classification of books and other materials used or consulted in the preparation of a work.
lithosphere	The solid portion of the Earth, as compared with the atmosphere and the hydrosphere.
litter	Straw, hay or similar material used as bedding by animals.
littoral	The intertidal zone of the seashore.
livestock	Cattle, horses, and similar animals kept for domestic use especially on a farm.
livestock breeding	The raising of livestock by crossing different varieties to obtain new varieties with desired characteristics.
livestock farming	Breeding of cattle, horses and similar animals.
living space	Any room, structure or area used as a residence and associated with subsistence activities, including sleeping, relaxing or eating.
lizard	(Sauria) A reptile of the order Squamata.
load bearing capacity	The maximum load that a system can support before failing.
teleheating	The supply of heat, either in the form of steam or hot water, from a central source to a group of buildings.
local traffic	Traffic moving within a city, town, or area and subject to frequent stops, as distinguished from long distance traffic.
locomotive	A self-propelled engine driven by steam, electricity or diesel power and used for drawing trains along railway tracks.
long-distance traffic	Traffic moving over extended areas, great distances and usually not subject to frequent stops.
long-term effect	Effect which will last long after the cause has ceased.
long-term trend	The prevailing tendency or general direction expected for some observed value over a lengthy and extended period of time, often determined by studying and analyzing statistical data.
lorry	A large motor vehicle of more than 3,500 kilograms designed for carrying cargo.
loss	The result of a business operation where overhead costs are greater than the receipts or income.
loss of biotope	Destruction of biotopes produced by environmental degradation which in turn is caused by air- or water-borne pollution.
loudness	The magnitude of the physiological sensation produced by a sound, which varies directly with the physical intensity of sound but also depends on frequency of sound and waveform.
low-cost housing	Residences built at minimal expense and designed to keep the rental rate or price of purchase affordable for persons with limited means, usually determined by an annual income level set below the local median.
Lower House	The body of a bicameral legislature composed of representatives elected by the general populace and organized into electorates or districts, each comprising an equal number of citizens.
low-level flight	Flying at low altitude.
low-level technology	Any relatively unsophisticated technical equipment or method with an amplitude or functionality below what is available in a similar or comparable system.
lubricant	A substance used to reduce friction between parts or objects in relative motion.
luminosity	The functional relationship between stellar magnitude and the number and distribution of stars of each magnitude interval. Also known as relative luminosity factor.
lye	The alkaline solution that is obtained from the leaching of wood ashes.
lymphatic system	A system of vessels and nodes conveying lymph in the vertebrate body, beginning with capillaries in tissue spaces and eventually forming the thoracic ducts which empty in the subclavian veins.
lysimetry	The measurement of the water percolating through soils and the determination of the materials dissolved by the water.
machine manufacture	The making or production of mechanical apparatuses used for commercial or industrial purposes, such as engines and turbines, elevators and conveying equipment, computers and office equipment, and hoists, cranes and industrial trucks.
macroeconomic goal	An aim or objective pertaining to the production, distribution and use of income, wealth and commodities in a country, region or other large area, typically concerned with governmental fiscal and monetary policy as it affects employment, consumption, investment and growth levels.
macroeconomics	Modern economic analysis that is concerned with data inaggregate as opposed to individual form such as national income, consumption and investment.
magnetic tape	A plastic, paper, or metal tape that is coated or impregnated with magnetizable iron oxide particles, used in magnetic recording.
magnetism	A class of physical phenomena associated with moving electricity, including the mutual mechanical forces among magnets and electric currents.
mailing list	A series of addresses or e-mail addresses to which solicited or unsolicited mass mailings can be sent.
malaria	A group of human and animal febrile diseases with a chronic relapsing course caused by hemosporidian blood parasites of the genus Plasmodium, transmitted by the bite of Anopheles mosquito.
malformation	Permanent structural change that may adversely affect survival, development or function.
malnutrition	Defective nutrition due to inadequate intake of nutrients or to their faulty digestion, assimilation or metabolism.
mammal	Any animal of the Mammalia class, a class of warm-blooded vertebrates having a thoracic diaphragm, a four-chambered heart and in which the females feed the young with their own milk.
management	The management or direction of the affairs of a public or private office, business or organization.
mandate	A command or authorization to act in a particular way given by an administrator to a subordinate, a court to a lower court or an electorate to its representative.
mangrove	Any of various tropical evergreen trees or shrubs that grow in shallow coastal water; Plants of the Rhizophoraceae family and/or of the genus Rhizophora.
mangrove swamp	A wet, spongy area of land in tropical climates and along coastal regions that is dominated by mangrove trees and shrubs, particularly red mangroves (Rhizophora), black mangroves (Avicennia) and white mangroves (Laguncularia).
man-made climate change	Man-made climate changes due to the greenhouse effect and other human activities.
man-nature relationship	The interrelationship between human activity and geographical environment.
manpower	The power generated by a man working.
manufacturing trade	The process or act of exchanging, buying or selling any manufactured product, or the raw materials for any manufacturing process.
manure	Animal excreta collected from stables and barnyards with or without litter; used to enrich the soil.
map	A representation, normally on a flat medium, that displays the physical and political features of a surface area of the earth, showing them in their respective forms, sizes and relationships according to some convention of representation.
mapping	The process of making a map of an area; especially the field work necessary for the production of a map.
mapping of lichens	Maps of lichens distribution indicating air quality. Fruticose lichens (with branched structures well above the surface) are more susceptible to SO2 damage than foliose lichens (whose leaflike thallus lies nearly flat on surface) and both in turn are more susceptible than crustose lichens (which embed their tissue in the cracks of bark, soil, or rocks). The use of morphological lichen types as indicators of air pollution concentrations is well developed.
marble	Metamorphic rock composed of recrystallized calcite or dolomite.
marginal land	Low quality land the value of whose production barely covers its cultivation costs.
mariculture	Cultivation of marine organisms in their natural habitats, usually for commercial purposes.
marina	A small port that is used for pleasure rather than trade, often with hotels, restaurants and bars.
marine biology	A branch of biology that deals with those living organisms which inhabit the sea.
marine ecology	An integrative science that studies the basic structural and functional relationships within and among living populations and their physical-chemical environments in marine ecosystems. Marine ecology focuses on specific organisms as well as on particular environments or physical settings.
marine ecosystem	Any marine environment, from pond to ocean, in which plants and animals interact with the chemical and physical features of the environment.
marine engineering	The design, construction, installation, operation, and maintenance of main power plants, as well as the associated auxiliary machinery and equipment, for the propulsion of ships.
marine environment	The oceans, seas, bays, estuaries, and other major water bodies, including coastal marine and nearshore zones.
marine fauna	Animals which live in the sea.
marine fishery	The harvest of animals and plants from the ocean to provide food and recreation for people, food for animals, and a variety of organic materials for industry.
marine geology	That aspect of the study of the ocean that deals specifically with the ocean floor and the ocean-continent border, including submarine relief features, the geochemistry and petrology of the sediments and rocks of the ocean bottom and the influence of seawater and waves on the ocean bottom and its materials.
marine pollution	Any detrimental alteration of the marine environment caused by the intentional or accidental release of dangerous or toxic substances, such as industrial, commercial and urban waste water.
marine reserve	Sea area where marine wildlife is protected.
marine sediment	Solid fragmental material, originated from weathering of rocks, that has settled down from a state of suspension in the water.
maritime law	That system of law which particularly relates to marine commerce and navigation, to business transacted at sea or relating to navigation, to ships and shipping, to seamen, to the transportation of persons and property by sea, and to marine affairs generally.
maritime navigation	Travelling on the sea by means of boats, ships, etc.
marker	Small amount of an easily detected substance that can be used to follow and quantify the flow of materials or movement of organisms not otherwise visible or detectable by ordinary means.
tracer	A minute quantity of radioactive isotope used in medicine or biology to study the chemical changes within living tissues.
market	Place of commercial activity in which articles are bought and sold.
market economy	A mixed economy that relies heavily on markets to answer the three basic questions of allocation, but with a modest amount of government involvement. While it is commonly termed capitalism, market-oriented economy is much more descriptive of how the economy is structured.
market form	The organizational form or structure of the trade or traffic of a particular commodity.
marketing	A related group of business activities whose purpose is to satisfy the demands for goods and services of consumers, businesses and government.
market research	The systematic gathering, recording, computing, and analysing of data about problems relating to the sale and distribution of goods and services for certain time periods.
marsupial	Type of mammal with a pouch in which the young are carried.
material	The substance of which a product is made or composed.
balance of matter	A calculation to inventory material inputs versus outputs in a process system.
material life cycle	All the stages involved in the manufacturing, distribution and retail, use and re-use and maintenance, recycling and waste management of materials.
materials science	The study of the nature, behaviour, and use of materials applied to science and technology.
mathematical analysis	The branch of mathematics most explicitly concerned with the limit process or the concept of convergence; includes the theories of differentiation, integration and measure, infinite series, and analytic functions.
maximum immission concentration	The maximum concentration of air polluting substances in the free environment whose impact when of specified duration and frequency is not objectionable to man, fauna and flora.
meadow	Strictly a term for a field of permanent grass used for hay, but also applied to rich, waterside grazing areas that are not suitable for arable cultivation.
measuring	The ability of the analytical method or protocol to quantify as well as identify the presence of the substance in question.
meat	The edible flesh of animals, especially that of mammals.
mechanical engineering	The branch of engineering concerned with the design, construction, and operation of machines.
medical science	The science and art of treating and healing.
medicinal plant	Plants having therapeutic properties.
Mediterranean Area	The collective islands and countries of the inland sea between Europe, Africa and Asia that is linked to the Atlantic Ocean at its western end by the Strait of Gibraltar and includes the Tyrrhenian, Adriatic, Aegean and Ionian seas.
melting	A change of the state of a substance from the solid phase to the liquid phase. (Source: MGH)
membrane	A thin tissue that encloses or lines biological cells, organs, or other structures.
mercury	A heavy silvery-white toxic liquid metallic element with symbol Hg and atomic number 80 occurring principally in cinnabar: used in thermometers, barometers, mercury-vapour lamps, and dental amalgams.
metabolism	All the chemical reactions that take place in a living organism, comprising both anabolism and catabolism.
metabolite	A product of intermediary metabolism.
metallic mineral	Mineral containing metals, such as bauxite, pyrite, etc.
metal oxide	Any binary compound in which oxygen is combined with one or more metal atoms.
metal plating	A thin, adherent layer of metal on an object.
metal	An opaque crystalline material usually of high strength with good electrical and thermal conductivities, ductility and reflectivity.
meteorological forecasting	A branch of science that studies the dynamics of the atmosphere and the direct effects of the atmosphere upon the Earth's surface, oceans and inhabitants, focusing particularly on weather and weather conditions.
meteorology	The science concerned with the atmosphere and its phenomena.
methane	A colourless, odourless, and tasteless gas, lighter than air and reacting violently with chlorine and bromine in sunlight, a chief component of natural gas; used as a source of methanol, acetylene, and carbon monoxide.
methodology	The system of methods and principles used in a particular discipline.
metropolis	A large city, specifically that city in a country which is the seat of government, of ecclesiastical authority, or of commercial activity.
microbiological analysis	Analysis for the identification of viruses, bacteria, fungi and parasites.
microbiology	The science and study of microorganisms, including protozoans, algae, fungi, bacteria, viruses, and rickettsiae.
microclimate	The local, rather uniform climate of a specific place or habitat, compared with the climate of the entire area of which it is a part.
microclimate effect	An effect on the climate on a small scale, such as a single forest or other bounded area.
microclimatology	The study of a microclimate, including the study of profiles of temperature, moisture and wind in the lowest stratum of air, the effects of the vegetation and of shelterbelts, and the modifying effects of towns and buildings.
microcomputer	A microprocessor combined with input/output interface devices, some type of external memory, and the other elements required to form a working computer system; it is smaller, lower in cost, and usually slower than a minicomputer.
microecosystem	A small-scale, simplified, experimental ecosystem, laboratory- or field- based, which may be: a) derived directly from nature (e.g. when samples of pond water are maintained subsequently by the input of artificial light and gas-exchange); or b) built up from axenic cultures (a culture of an organism that consists of one type of organism only, i.e. that is free from any contaminating organism) until the required conditions of organisms and environment are achieved. Also known as microcosm.
microelectronics	The technology of constructing circuits and devices in extremely small packages by various techniques.
microfiltration	The separation or removal from a liquid of particulates and microorganisms in the size range of 0.1 to 0.2 microns in diameter.
micropollutant	Pollutant which exists in very small traces in water.
microscopy	The interpretative application of microscope magnification to the study of materials that cannot be properly seen by the unaided eye.
microwave	An electromagnetic wave which has a wavelength between about 0.3 and 30 centimeters, corresponding to frequencies of 1-100 gigahertz; however there are no sharp boundaries between microwaves and infrared and radio waves.
animal migration	Movements that particular animals carry out regularly often between breeding places and winter feeding grounds.
migratory bird	A bird which migrates in a group.
migratory species	A species that moves from one biome to another for food or to breed.
military air traffic	Air traffic of or relating to the armed forces.
military zone	Area whose utilization is exclusively reserved to the army.
milk	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.
mill	A building where grain is crushed into flour.
mine	An opening or excavation in the earth for extracting minerals.
mineral deposit	A mass of naturally occurring mineral material, e.g. metal ores or nonmetallic mineral, usually of economic value, without regard to mode of origin.
mineralogy	The science which concerns the study of natural inorganic substances called minerals.
mineral	A naturally occurring substance with a characteristic chemical composition expressed by a chemical formula; may occur as individual crystals or may be disseminated in some other material or rock.
mineral water	Water containing naturally or artificially supplied minerals or gases.
mining district	A district where mineral exploitation is performed.
mining engineering	Engineering concerned with the discovery, development and exploitation of coal, ores, and minerals, as well as the cleaning, sizing and dressing of the product.
mining geology	The study of geologic aspects of mineral deposits, with particular regard to problems associated with mining.
mining industry	A sector of the economy in which an aggregate of commercial enterprises is engaged in the extraction of minerals occurring naturally, often involving quarrying, well operations, milling, exploration and development.
mining regulation	A rule or order prescribed by government or management to promote the safety, legality or ecological responsibility of any aspect of the process or industry of ore extraction.
ministry	The body of top government administrators or other high ranking public officials that are selected by a head of state to manage certain aspects of a state's affairs, as opposed to civil servants whose tenure is unaffected by public changes resulting from democratic elections or some other process.
minority	A group that is different racially, politically, etc. from a larger group of which it is a part.
miscibility	The tendency or capacity of two or more liquids to form a uniform blend, that is, to dissolve in each other; degrees are total miscibility, partial miscibility, and immiscibility.
mite	An order of small Arachnida with rounded bodies. Mites are very abundant in the soil, feeding on plant material and invertebrate animals. Some parasitic mites (e.g. red spider) damage crops and can be serious pests. Others cause diseases in animals. Ticks are blood-suckers, some being vectors of diseases such as Rocky Mountain spotted fever in humans and fowls, and louping ill in cattle and sheep.
mitigation measure	Any procedure or action undertaken to reduce the adverse impacts that a project or activity may have on the environment.
mixed forest	A forest composed of broadleaf trees and coniferous trees.
mixed use area	Use of land for more than one purpose; e.g. grazing of livestock, watershed and wildlife protection, recreation, and timber production.
mixing	The intermingling of different materials to produce a homogeneous mixture.
mobile home	Living quarters mounted on wheels and capable of being towed by a motor vehicle.
model	A representation, usually on a smaller scale, of a device, structure, etc. 
moisture	Water that is dispersed through a gas in the form of water vapour or small droplets, dispersed through a solid, or condensed on the surface of a solid.
molecular biology	The study of the chemical structures and processes of biological phenomena at the molecular level; the discipline is particularly concerned with the study of proteins, nucleic acids, and enzymes, the macromolecules essential to life processes. It seeks to understand the molecular basis of genetic processes. Techniques used include X-ray diffraction and electron microscopy.
monitoring	The regularly checking in order to perceive change in some quality or quantity.
monitoring technique	Techniques employed in the process of checking, observing and measuring events, processes or physical, chemical, biological and environmental phenomena.
monopoly	The market condition where a particular commodity or service has only one seller.
monument	An object, especially large and made of stone, built to remember and show respect to a person or group of people, or a special place made for this purpose.
moor	A tract of unenclosed waste ground, usually covered with heather, coarse grass, bracken, and moss.
moral persuasion	Appealing to the ethical principles or beliefs of an adversary or the public to convince the adversary to change behavior or attitudes.
morphology	The branch of biology concerned with the form and structure of organisms.
mortality	The number of deaths occurring in a given population for a given period of time.
moss	Any plant of the class Bryophyta, occurring in nearly all damp habitats.
motorcycle	Single-track, two-wheeled motor vehicle.
motor fuel	Any gaseous or liquid flammable fuel that burns in an internal combustion engine.
motor vehicle	A road vehicle driven by a motor or engine, especially an internal combustion engine.
mountain	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.
mountaineering	The sport, hobby or profession of walking, hiking and climbing up mountains.
mountainous area	Area characterized by conspicuous peaks, ridges, or mountain ranges.
mountain range	A single, large mass consisting of a succession of mountains or narrowly spaced mountain ridges, with or without peaks, closely related in position, direction, formation, and age.
mowing	The cutting down of grass, crops or grain with a scythe or a mechanical device.
mud flat	A relatively level area of fine silt along a shore (as in a sheltered estuary) or around an island, alternately covered and uncovered by the tide, or covered by shallow water.
mulch	A layer of organic material applied to the surface of the ground to retain moisture.
multilateral agreement	A binding agreement between three or more parties.
multinational firm	A business company operating in multiple countries.
municipal cleansing	The aggregation of services offered by a town or city in which streets and other public areas are kept clean, such as through trash pick-ups, street sweeping and decontamination of water, soil and other natural resources.
municipality	A town, city, or other district having powers of local self-government.
municipal level	The jurisdiction, position or status of city, town or local government.
muscular system	The muscle cells, tissues, and organs that effect movement in all vertebrates.
museum	A place or building where objects of historical, artistic, or scientific interest are exhibited, preserved or studied.
mushroom	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.
music	The artistic organisation of sounds or tones that expresses ideas and emotions through the elements of rhythm, melody, harmony and tonal colour.
mussel farming	Breeding of mussels for sale as food.
mustelid	A large, diverse family of low-slung, long-bodied carnivorous mammals including minks, weasels, and badgers; distinguished by having only one molar in each upper jaw, and two at the most in the lower jaw.
mutagenicity	The property of chemical or physical agents of inducing changes in genetic material that are transmitted during cell division.
mutagen	An agent that raises the frequency of mutation of genetic material above the spontaneous rate.
mutant	An individual bearing an allele that has undergone mutation and is expressed in the phenotype.
mutation	A change in the chemical constitution of the DNA in the chromosomes of an organism.
mycology	The branch of botany concerned with the study of fungi.
mycorrhiza	The symbiotic association of the root of a higher plant with a fungus.
national legislation	A binding rule or body of rules prescribed by the government of a sovereign state that holds force throughout the regions and territories within the government's dominion.
national park	Areas of outstanding natural beauty, set aside for the conservation of flora, fauna and scenery, and for recreation, if this does not conflict with the conservation objectives of the parks and their landscapes. Hunting, logging, mining, commercial fishing, agriculture and livestock grazing are all controlled within national parks, as is industrial activity.
natural area	An area of certain natural conditions, as opposed to a civilized area shaped and inhabited mainly by humans.
natural disaster	Violent, sudden and destructive change in the environment without cause from human activity, due to phenomena such as floods, earthquakes, fire and hurricanes.
natural fertiliser	Organic material added to the soil to supply chemical elements needed for plant nutrition.
natural forest	A forest area that has developed free from the influence of humans and remains largely unaffected by their activities.
natural gas	A natural fuel containing methane and hydrocarbons that occurs in certain geologic formations.
natural gas extraction	The tapping of natural gas from wells located under the sea and in general from underground sources often in association with petroleum deposits; it is used as a fuel, having largely replaced coal-gas for this purpose, and as a source of intermediates for organic synthesis.
natural hazard	The probability of occurrence, within a specific period of time in a given area of a potentially damaging phenomenon of nature.
natural heritage	Generally, the world's natural resources as handed down to the present generation, and specifically, the earth's outstanding physical, biological and geological formations, and habitats of threatened species of animals and plants and areas with scientific, conservation or aesthetic value.
rights of nature	A rule or body of rules that derives from nature and is believed to be binding upon human society, as opposed to human-made laws such as legislative acts and judicial decisions.
natural monument	A natural/cultural feature which is of outstanding or unique value because of its inherent rarity, representative of aesthetic qualities or cultural significance. Guidance for selection of a natural monument is: a) The area should contain one or more features of outstanding significance (appropriate natural features include spectacular waterfalls, caves, craters, fossil beds, sand dunes and marine features, along with unique or representative fauna and flora; associated cultural features might include cave dwellings, cliff-top forts, archaeological sites, or natural sites which have heritage significance to indigenous peoples).; b) The area should be large enough to protect the integrity of the feature and its immediately related surroundings.
natural park	A designation project of lands which preserves natural resources for their scientific, scenic, cultural and/or educational value by limiting development and management practices. Land managed to protect rare and endangered species of flora and fauna will be designed as natural areas.
natural radioactivity	Radiation stemming mainly from uranium, present in small amounts in many rocks, soils, building material, etc.
natural resource	A feature or component of the natural environment that is of value in serving human needs, e.g. soil, water, plantlife, wildlife, etc.
natural science	The branches of science dealing with objectively measurable phenomena pertaining to the transformation and relationships of energy and matter; includes biology, physics, and chemistry.
natural stone	A stone that occurs in nature, as distinguished from a man-made substitute.
nature conservation	Active management of the earth's natural resources and environment to ensure their quality is maintained and that they are wisely used.
nature reserve	Area allocated to preserve and protect certain animals and plants, or both.
nausea	Desire to vomit.
necrosis	The pathologic death of living tissue in a plant or animal.
need	To need a number or amount of something, but not having any at all.
nematode	A group of unsegmented worms which have been variously recognized as an order, class, and phylum.
nervous system	A coordinating and integrating system which functions in the adaptation of an organism to its environment; in vertebrates, the system consists of the brain, brainstem, spinal cord, cranial and peripheral nerves, and ganglia.
net resource depletion	The total decrease in the amount of natural materials available for use by humans and other living beings.
neurotoxicity	The occurrence of adverse effects on a nervous system following exposure to a chemical.
neutralisation	The act of making a solution neutral by adding a base to an acidic solution, or an acid to a basic solution.
new community	A sociopolitical, religious, occupational or other group of common characteristics and interests formed as an alternative to social, and often residential, options currently available.
nickel	A malleable ductile silvery-white metallic element that is strong and corrosion-resistant, occurring principally in pentlandite and niccolite: used in alloys, especially in toughening steel, in electroplating, and as a catalyst in organic synthesis.
nitrate	Any salt or ester of nitric acid, such as sodium nitrate.
nitrification	The process by which ammonia compounds, including man-made fertilizer and the humus provided by organic matter or plant and animal origin, are converted into nitrites and then nitrates, which are then absorbed as a nutrient by crops.
nitrite	A salt or ester of nitric acid, included in compounds such as potassium nitrite, sodium nitrite and butyl nitrite.
nitro compound	Any one of a class of usually organic compounds that contain the monovalent group, -NO2 (nitro group or radical) linked to a carbon atom.
nitrogen	Gaseous, non-metallic chemical element with symbol N and atomic number 7.
nitrogen cycle	The complex set of processes by which crops acquire the large amount of nitrogen they need to make proteins, nucleic acids and other biochemicals of which they are composed, and how the nitrogen returns to the atmosphere.
nitrogen dioxide	A reddish-brown gas; it exists in varying degrees of concentration in equilibrium with other nitrogen oxides; used to produce nitric acid.
nitrogen fixation	Assimilation of atmospheric nitrogen by a variety of microorganisms which live freely in soil.
nitrogen monoxide	A colourless gas, soluble in water, ethanol and ether.
nitrosamine	Any one of a class of neutral, usually yellow oily compounds containing the divalent group.
noise	Sound which is unwanted, either because of its effects on humans, its effect on fatigue or malfunction of physical equipment, or its interference with the perception or detection of other sounds.
noise analysis	Determination of the frequency components that make up a particular noise being studied.
noise barrier	A barrier for reducing the propagation of sound that are widely used in industry and alongside roads and railways.
noise emission	The release of noise into the environment from various sources that can be grouped in: transportation activities, industrial activities and daily normal activities.
noise immission	Immission in the environment of acoustic vibrations that negatively affect human beings, animals, plants or other objects.
noise level	Physical quantity of unwanted sound measured, usually expressed in decibels.
